hour	m_C	l_C	u_C	m_B	l_B	u_B	m_CO2	l_CO2	u_CO2	m_Enz	l_Enz	u_Enz	m_Exu	l_Exu	u_Exu	m_Waste	l_Waste	u_Waste	m_deadB	l_deadB	u_deadB
1	100	100	100	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	99.99210286	99.97971857	99.99779362	0.10110257	0.089602872	0.112418092	0.006421484	0.00061509	0.017143468	0.000187019	4.14915E-05	0.000541172	7.21699E-05	1.62887E-06	0.000441397	7.45781E-05	1.64934E-06	0.000456284	3.93234E-05	5.99976E-06	0.00013708
3	99.98392286	99.95714246	99.99563959	0.103639867	0.086150348	0.124418102	0.011681287	0.001287475	0.03014728	0.000380605	8.11761E-05	0.00112198	0.000145502	3.22541E-06	0.000897264	0.000150469	3.32422E-06	0.000925199	7.94062E-05	1.20485E-05	0.000277932
4	99.9754269	99.93275442	99.99347928	0.106346925	0.08523162	0.134298367	0.017075346	0.002115564	0.042947855	0.000581547	0.000121798	0.001737815	0.000220472	4.88385E-06	0.001366418	0.000228285	5.07695E-06	0.001404023	0.000120522	1.82332E-05	0.000423193
5	99.96662709	99.9070056	99.99128013	0.108939518	0.085357235	0.143156823	0.022876116	0.003344939	0.057434444	0.000789556	0.000162323	0.002394916	0.000297008	6.5846E-06	0.001826499	0.000308053	6.87592E-06	0.001886469	0.000162657	2.46813E-05	0.000568291
6	99.95752669	99.87947323	99.98906736	0.111505564	0.085819051	0.151988073	0.028992644	0.00494094	0.073413725	0.001004548	0.000202895	0.003068911	0.000375034	8.38269E-06	0.002292634	0.000389739	8.67762E-06	0.002395754	0.000205779	3.13612E-05	0.000718138
7	99.94811761	99.85027184	99.98688201	0.114117433	0.086438964	0.161196936	0.035360459	0.006692647	0.091769145	0.001226701	0.000244378	0.003789095	0.000454546	1.02144E-05	0.002774091	0.000473359	1.05083E-05	0.002923724	0.000249892	3.78782E-05	0.00087759
8	99.9383859	99.81937692	99.984701	0.116808017	0.087013455	0.170511104	0.041960188	0.008488517	0.112145601	0.001456329	0.00028575	0.004584354	0.000535578	1.20438E-05	0.003272348	0.000558965	1.2311E-05	0.003459789	0.000295019	4.44892E-05	0.001034439
9	99.92831431	99.78669658	99.98251439	0.119593745	0.087625213	0.180494635	0.048792122	0.010284912	0.133148593	0.001693819	0.000327471	0.005415064	0.000618183	1.38906E-05	0.003774118	0.000646626	1.42143E-05	0.004008591	0.000341193	5.10071E-05	0.001195941
10	99.9178831	99.7518111	99.98029881	0.12248519	0.088198659	0.191021036	0.055864807	0.01211799	0.154665483	0.001939614	0.000369211	0.006280277	0.000702419	1.57493E-05	0.004281198	0.000736419	1.61352E-05	0.004572454	0.000388452	5.79604E-05	0.00136336
