hour	m_N	l_N	u_N	m_BN	l_BN	u_BN	m_Nof	l_Nof	u_Nof	m_NEnz	l_NEnz	u_NEnz	m_NExu	l_NExu	u_NExu	m_NWaste	l_NWaste	u_NWaste	m_deadNB	l_deadNB	u_deadNB
1	5	5	5	0.01685	0.01685	0.01685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4.999605143	4.998985928	4.999889681	0.016534577	0.014422953	0.017608297	0.000645291	0	0.002678448	4.01665E-05	8.24743E-06	0.000119439	1.82307E-05	3.87491E-07	0.00011026	0	0	0	6.5923E-06	9.86621E-07	2.33406E-05
3	4.999196143	4.997857123	4.99978198	0.01673624	0.013803529	0.018443748	0.000785838	0	0.003485483	8.17504E-05	1.64306E-05	0.000249117	3.67539E-05	7.82687E-07	0.00022515	0	0	0	1.32736E-05	2.00719E-06	4.72618E-05
4	4.998771345	4.996637721	4.999673964	0.017075981	0.013838333	0.019405162	0.000801966	0	0.00363235	0.000124915	2.46654E-05	0.000387074	5.56879E-05	1.1754E-06	0.000340335	0	0	0	2.01045E-05	3.08354E-06	7.10773E-05
5	4.998331355	4.99535028	4.999564007	0.017443994	0.014039441	0.020399872	0.000802949	0	0.003642209	0.000169595	3.2909E-05	0.000533284	7.50145E-05	1.58772E-06	0.000458987	0	0	0	2.70921E-05	4.14979E-06	9.50535E-05
6	4.997876335	4.993973662	4.999453368	0.017825785	0.014230414	0.021499085	0.000803161	0	0.003642209	0.00021577	4.1185E-05	0.000688047	9.47139E-05	1.99766E-06	0.000577457	0	0	0	3.42358E-05	5.26003E-06	0.000119605
7	4.997405881	4.992513592	4.9993441	0.018220987	0.014380101	0.022769851	0.000803332	0	0.003642209	0.000263477	4.96171E-05	0.000855748	0.000114785	2.42969E-06	0.00069627	0	0	0	4.15381E-05	6.40322E-06	0.000144761
8	4.996919295	4.990968846	4.99923505	0.018630184	0.014533401	0.024086061	0.000803499	0	0.003642209	0.000312781	5.80414E-05	0.001028769	0.000135237	2.8555E-06	0.000822353	0	0	0	4.90036E-05	7.57353E-06	0.000170646
9	4.996415716	4.989334829	4.99912572	0.019054135	0.014686559	0.02553593	0.000803666	0	0.003642209	0.000363764	6.66611E-05	0.001203364	0.000156082	3.30721E-06	0.000950555	0	0	0	5.66376E-05	8.73073E-06	0.000197409
10	4.995894155	4.987590555	4.99901494	0.019493711	0.014816431	0.026996349	0.000803834	0	0.003642209	0.000416518	7.5252E-05	0.001394963	0.000177336	3.75566E-06	0.001072455	0	0	0	6.44463E-05	9.89178E-06	0.00022565
11	4.995353511	4.985743825	4.998901726	0.019949889	0.014964303	0.028587938	0.000804004	0	0.003642209	0.000471145	8.38236E-05	0.001599812	0.000199015	4.19995E-06	0.001200033	0	0	0	7.24362E-05	1.11317E-05	0.000254962
12	4.99479256	4.983753032	4.998787921	0.020423753	0.01509829	0.030210365	0.000804175	0	0.003642209	0.000527759	9.22524E-05	0.00181197	0.000221139	4.66914E-06	0.00133436	0	0	0	8.06143E-05	1.23655E-05	0.000283597
13	4.994209942	4.981670611	4.998673885	0.020916511	0.015263728	0.032060555	0.000804348	0	0.003642209	0.000586484	0.00010087	0.002026331	0.000243727	5.13739E-06	0.00146945	0	0	0	8.89882E-05	1.36333E-05	0.000312203
14	4.993604138	4.979480845	4.998560705	0.021429515	0.015391029	0.033916633	0.000804522	0	0.003644695	0.00064746	0.000109757	0.002255724	0.0002668	5.65976E-06	0.001607497	0	0	0	9.75659E-05	1.48911E-05	0.000341657
15	4.992973454	4.977116841	4.998448263	0.021964272	0.015523208	0.03584268	0.000804699	0	0.003644695	0.000710837	0.000118455	0.002502987	0.000290382	6.13163E-06	0.00176001	0	0	0	0.000106356	1.61909E-05	0.000372905
16	4.99231599	4.97458632	4.998336459	0.022522479	0.015671764	0.038021362	0.000804878	0	0.003644695	0.000776787	0.000127572	0.002743676	0.000314498	6.63014E-06	0.001895869	0	0	0	0.000115368	1.74917E-05	0.000407005
17	4.99162962	4.97195186	4.998224158	0.023106035	0.015797506	0.040180526	0.000805058	0	0.003644695	0.000845499	0.000136732	0.003003298	0.000339175	7.1306E-06	0.00206152	0	0	0	0.000124613	1.8835E-05	0.000440692
18	4.990911962	4.969042151	4.998107955	0.02371707	0.015938547	0.042474295	0.000805241	0	0.003644871	0.000917182	0.000145751	0.003297192	0.000364445	7.63473E-06	0.00221342	0	0	0	0.0001341	2.01893E-05	0.000473556
19	4.990160356	4.96604478	4.997992599	0.024357966	0.016082571	0.044899823	0.000805425	0	0.003644871	0.000992069	0.00015508	0.003618126	0.000390341	8.14565E-06	0.002378	0	0	0	0.000143843	2.15714E-05	0.000507422
20	4.98937185	4.962977547	4.997875883	0.025031367	0.016211295	0.047594426	0.000805612	0	0.003644871	0.001070418	0.000164126	0.003948861	0.000416899	8.67669E-06	0.002531674	0	0	0	0.000153854	2.29303E-05	0.000542697
21	4.988543214	4.959738869	4.997760975	0.025740168	0.016350758	0.050395499	0.000805801	0	0.003644871	0.001152509	0.000173166	0.004289223	0.000444159	9.31071E-06	0.002708951	0	0	0	0.000164148	2.43826E-05	0.000578923
22	4.987670978	4.956216159	4.997644632	0.026487476	0.016452642	0.053406661	0.000805992	0	0.003646369	0.001238646	0.00018224	0.004670746	0.000472167	9.83849E-06	0.002891822	0	0	0	0.000174741	2.57766E-05	0.000616673
23	4.986751557	4.952481647	4.997528162	0.027276496	0.01655969	0.056649093	0.000806185	0	0.003646369	0.001329143	0.000191354	0.005104191	0.00050097	1.0436E-05	0.003064585	0	0	0	0.000185649	2.72117E-05	0.000655793
